时间,价格
1960/1/1,283128.7124
1961/1/1,304970.1483
1962/1/1,325085.2416
1963/1/1,348480.5723
1964/1/1,369844.6368
1965/1/1,375388.2934
1966/1/1,403592.3784
1967/1/1,414506.8362
1968/1/1,456148.2095
1969/1/1,498178.656
1970/1/1,520368.6596
1971/1/1,554170.7497
1972/1/1,616399.5685
1973/1/1,670066.2646
1974/1/1,676268.8086
1975/1/1,659994.6942
1976/1/1,691873.9875
1977/1/1,738867.2341
1978/1/1,747939.4264
1979/1/1,786391.503
1980/1/1,754458.4801
1981/1/1,787807.4911
1982/1/1,746359.9831
1983/1/1,757809.5964
1984/1/1,802483.4639
1985/1/1,842904.1719
1986/1/1,852825.6274
1987/1/1,865662.9164
1988/1/1,906309.9974
1989/1/1,943088.9157
1990/1/1,948729.9556
1991/1/1,957904.829
1992/1/1,983786.8105
1993/1/1,1003023.257
1994/1/1,1055167.913
1995/1/1,1086711.178
1996/1/1,1151353.612
1997/1/1,1187345.927
1998/1/1,1244252.893
1999/1/1,1288996.444
2000/1/1,1333438.288
2001/1/1,1336265.085
2002/1/1,1348219.941
2003/1/1,1365544.042
2004/1/1,1431808.905
2005/1/1,1478787.241
2006/1/1,1530533.748
2007/1/1,1571433.679
2008/1/1,1545075.838
2009/1/1,1454313.457
